vendor,model_id,status
Amazon,amazon.nova-2-lite-v1:0,ACTIVE
Amazon,amazon.nova-canvas-v1:0,ACTIVE
Amazon,amazon.nova-lite-v1:0,ACTIVE
Amazon,amazon.nova-micro-v1:0,ACTIVE
Amazon,amazon.nova-pro-v1:0,ACTIVE
Amazon,amazon.nova-reel-v1:0,ACTIVE
Amazon,amazon.titan-embed-image-v1,ACTIVE
Amazon,amazon.titan-embed-image-v1:0,ACTIVE
Amazon,amazon.titan-embed-text-v2:0,ACTIVE
Amazon,eu.amazon.nova-2-lite-v1:0,INFERENCE_PROFILE/ACTIVE
Amazon,eu.amazon.nova-lite-v1:0,INFERENCE_PROFILE/ACTIVE
Amazon,eu.amazon.nova-micro-v1:0,INFERENCE_PROFILE/ACTIVE
Amazon,eu.amazon.nova-pro-v1:0,INFERENCE_PROFILE/ACTIVE
Amazon,global.amazon.nova-2-lite-v1:0,INFERENCE_PROFILE/ACTIVE
Anthropic,anthropic.claude-3-7-sonnet-20250219-v1:0,LEGACY
Anthropic,anthropic.claude-3-haiku-20240307-v1:0,LEGACY
Anthropic,anthropic.claude-3-haiku-20240307-v1:0:48k,LEGACY
Anthropic,anthropic.claude-3-sonnet-20240229-v1:0,LEGACY
Anthropic,anthropic.claude-3-sonnet-20240229-v1:0:200k,LEGACY
Anthropic,anthropic.claude-3-sonnet-20240229-v1:0:28k,LEGACY
Anthropic,anthropic.claude-haiku-4-5-20251001-v1:0,ACTIVE
Anthropic,anthropic.claude-opus-4-5-20251101-v1:0,ACTIVE
Anthropic,anthropic.claude-opus-4-6-v1,ACTIVE
Anthropic,anthropic.claude-opus-4-7,ACTIVE
Anthropic,anthropic.claude-sonnet-4-20250514-v1:0,LEGACY
Anthropic,anthropic.claude-sonnet-4-5-20250929-v1:0,ACTIVE
Anthropic,anthropic.claude-sonnet-4-6,ACTIVE
Anthropic,eu.anthropic.claude-3-7-sonnet-20250219-v1:0,INFERENCE_PROFILE/ACTIVE
Anthropic,eu.anthropic.claude-3-haiku-20240307-v1:0,INFERENCE_PROFILE/ACTIVE
Anthropic,eu.anthropic.claude-3-sonnet-20240229-v1:0,INFERENCE_PROFILE/ACTIVE
Anthropic,eu.anthropic.claude-haiku-4-5-20251001-v1:0,INFERENCE_PROFILE/ACTIVE
Anthropic,eu.anthropic.claude-opus-4-5-20251101-v1:0,INFERENCE_PROFILE/ACTIVE
Anthropic,eu.anthropic.claude-opus-4-6-v1,INFERENCE_PROFILE/ACTIVE
Anthropic,eu.anthropic.claude-opus-4-7,INFERENCE_PROFILE/ACTIVE
Anthropic,eu.anthropic.claude-sonnet-4-20250514-v1:0,INFERENCE_PROFILE/ACTIVE
Anthropic,eu.anthropic.claude-sonnet-4-5-20250929-v1:0,INFERENCE_PROFILE/ACTIVE
Anthropic,eu.anthropic.claude-sonnet-4-6,INFERENCE_PROFILE/ACTIVE
Anthropic,global.anthropic.claude-haiku-4-5-20251001-v1:0,INFERENCE_PROFILE/ACTIVE
Anthropic,global.anthropic.claude-opus-4-5-20251101-v1:0,INFERENCE_PROFILE/ACTIVE
Anthropic,global.anthropic.claude-opus-4-6-v1,INFERENCE_PROFILE/ACTIVE
Anthropic,global.anthropic.claude-opus-4-7,INFERENCE_PROFILE/ACTIVE
Anthropic,global.anthropic.claude-sonnet-4-20250514-v1:0,INFERENCE_PROFILE/ACTIVE
Anthropic,global.anthropic.claude-sonnet-4-5-20250929-v1:0,INFERENCE_PROFILE/ACTIVE
Anthropic,global.anthropic.claude-sonnet-4-6,INFERENCE_PROFILE/ACTIVE
Cohere,cohere.embed-english-v3,ACTIVE
Cohere,cohere.embed-multilingual-v3,ACTIVE
Cohere,cohere.embed-v4:0,ACTIVE
Cohere,eu.cohere.embed-v4:0,INFERENCE_PROFILE/ACTIVE
Cohere,global.cohere.embed-v4:0,INFERENCE_PROFILE/ACTIVE
Google,google.gemma-3-12b-it,ACTIVE
Google,google.gemma-3-27b-it,ACTIVE
Google,google.gemma-3-4b-it,ACTIVE
